coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,coverage_pcp,length_pcp,len_ratio_pcp,pcp_frac_inf,pcp_precision,pcp_clusters,pcp_cluster_r2,coverage_pcp_base,length_pcp_base,len_ratio_pcp_base,pcp_base_frac_inf,pcp_base_precision,pcp_base_clusters,pcp_base_cluster_r2,coverage_em_pcp,length_em_pcp,len_ratio_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.8836666666666667,3.2665984573903772,0.8893333333333333,3.3859399656199267,0.8883333333333333,3.3540953330211445,1.036533877605786,1.02678531713404,0.8793333333333333,3.6388389869268853,1.1139535619060703,0.0,20.0,1.0,0.0,0.8793333333333333,3.6388389869268853,1.1139535619060703,0.0,20.0,1.0,0.0,0.8853333333333333,3.681458185764305,1.1270005278534758,0.0,1.0,10.0,,0.6982503232457351,10.52474835317074,0.9604727347777345,1,10,1.0,0.0,1.0,1.0,False,True,135,-20884.69181730367
0.9063333333333333,3.383254597201853,0.906,3.441488937159031,0.9063333333333333,3.4386339473401444,1.017212520750091,1.0163686617566687,0.909,3.587419925225262,1.0603458362821012,0.0,20.0,1.0,0.0,0.909,3.587419925225262,1.0603458362821012,0.0,20.0,1.0,0.0,0.907,3.6095419981585617,1.0668845321732103,0.0,1.0,10.0,,0.7321130169953513,10.128197106364315,1.0490211270770076,1,10,1.0,0.0,1.0,1.0,True,True,121,-31012.3983903033
0.8863333333333333,6.310027312488866,0.8913333333333333,6.331992048836105,0.8886666666666667,6.274246787865813,1.0034809257170354,0.9943295769017932,0.889,6.4814824595011,1.0271718549732565,0.0,20.0,1.0,-2.220446049250313e-16,0.889,6.4814824595011,1.0271718549732565,0.0,20.0,1.0,0.0,0.8823333333333333,6.426717350423103,1.0184927944294764,0.0,1.0,10.0,,0.6846135921574751,10.295138027082636,1.020535633253013,1,10,1.0,0.0,2.0,1.0,False,True,135,-20939.96871541337
0.9036666666666666,6.552048985707259,0.8933333333333333,6.420316364559083,0.8973333333333333,6.473452755376852,0.9798944389097914,0.9880043280351142,0.8916666666666667,6.615295141339571,1.009652881987036,0.0,20.0,1.0,0.0,0.8916666666666667,6.615295141339571,1.009652881987036,0.0,20.0,1.0,0.0,0.8943333333333333,6.675763096758877,1.0188817439127043,0.0,1.0,10.0,,0.7301226165448035,9.461592473393798,0.9896544393871872,1,10,1.0,0.0,2.0,1.0,True,True,62,-30887.35556956227
0.9136666666666666,10.051464720595735,0.902,9.880272104391791,0.904,9.90552757650286,0.9829683910790469,0.9854810071815857,0.905,10.124862585625907,1.0073022059043573,0.0,20.0,1.0,0.0,0.905,10.124862585625907,1.0073022059043573,0.0,20.0,1.0,0.0,0.8956666666666667,10.023924412159928,0.9972600701289459,0.0,1.0,10.0,,0.702358465598818,9.966662226777197,1.1205945852627694,1,10,1.0,0.0,3.0,1.0,False,True,131,-21046.17292760768
0.903,9.824782501115186,0.901,9.848599004095359,0.8996666666666666,9.798505860805363,1.0024241252137103,0.9973254735861237,0.9036666666666666,10.028126362494508,1.0206970343980888,0.0,20.0,1.0,0.0,0.9036666666666666,10.028126362494508,1.0206970343980888,0.0,20.0,1.0,0.0,0.889,9.784530870483565,0.9959030512250981,0.0,1.0,10.0,,0.7482508689173237,10.593195347292532,0.9318911140273276,1,10,1.0,0.0,3.0,1.0,True,True,127,-30873.320758720347
0.9063333333333333,3.336581940586035,0.9123333333333333,3.8782137124166725,0.9133333333333333,4.061315298179262,1.1623313263319723,1.2172083199209354,0.909,4.288954739710241,1.2854336611787007,0.0,20.0,1.0,0.0,0.909,4.288954739710241,1.2854336611787007,0.0,20.0,1.0,-2.220446049250313e-16,0.9036666666666666,4.236020160753674,1.2695687491522125,0.0,1.0,10.0,,0.7295317691220389,10.470611324534856,3.5951531717910807,1,10,3.0,0.0,1.0,1.0,False,True,71,-22898.743021614693
0.9023333333333333,3.2887314766657054,0.894,3.4895793617727624,0.8996666666666666,3.541877636158899,1.0610715367101626,1.0769738001686433,0.8943333333333333,3.4650105929440604,1.0536009453885473,0.0,20.0,1.0,0.0,0.8943333333333333,3.4650105929440604,1.0536009453885473,0.0,20.0,1.0,0.0,0.896,3.4921068650859466,1.0618400711226306,0.0,1.0,10.0,,0.745922691141006,10.934401257221126,3.8755066436681664,1,10,3.0,0.0,1.0,1.0,True,True,71,-32902.04872886716
0.904,6.597196677301353,0.8966666666666666,6.7057402091129,0.9,6.8740858277521415,1.016452978002764,1.0419707284767585,0.8996666666666666,6.922473088781136,1.0493052469693598,0.0,20.0,1.0,0.0,0.8996666666666666,6.922473088781136,1.0493052469693598,0.0,20.0,1.0,-2.220446049250313e-16,0.9063333333333333,7.037199058171627,1.06669535598115,0.0,1.0,10.0,,0.7517289141235418,9.599254197717945,3.4653066482620494,1,10,3.0,0.0,2.0,1.0,False,True,98,-22928.78554827154
0.8906666666666667,6.6071488956126885,0.8986666666666666,6.964352062273392,0.899,7.08493840864469,1.0540631325711298,1.0723140223689018,0.91,7.201714519626747,1.0899882284185944,0.0,20.0,1.0,0.0,0.91,7.201714519626747,1.0899882284185944,0.0,20.0,1.0,2.220446049250313e-16,0.8976666666666666,7.056744288678233,1.068046808111754,0.0,1.0,10.0,,0.759461635303458,8.269406652802928,3.815876549536291,1,10,3.0,0.0,2.0,1.0,True,True,91,-32881.16759357888
